Date,T1,T2
2018-01-09-11:31:02,-0.035,-0.153
2018-01-09-11:31:07,-0.035,-0.153
2018-01-09-11:31:12,-0.034,-0.153
2018-01-09-11:31:17,-0.032,-0.155
2018-01-09-11:31:22,-0.035,-0.153
2018-01-09-11:31:27,-0.034,-0.152
2018-01-09-11:31:32,-0.034,-0.152
2018-01-09-11:31:37,-0.034,-0.15
2018-01-09-11:31:42,-0.033,-0.15
2018-01-09-11:31:47,-0.033,-0.151
2018-01-09-11:31:52,-0.037,-0.15
2018-01-09-11:31:57,-0.036,-0.15
2018-01-09-11:32:02,-0.035,-0.149
2018-01-09-11:32:07,-0.034,-0.15
2018-01-09-11:32:12,-0.033,-0.149
2018-01-09-11:32:17,-0.035,-0.149
2018-01-09-11:32:22,-0.034,-0.149
2018-01-09-11:32:27,-0.036,-0.149
2018-01-09-11:32:32,-0.036,-0.149
2018-01-09-11:32:37,-0.033,-0.148
2018-01-09-11:32:42,-0.034,-0.149
2018-01-09-11:32:47,-0.033,-0.148
2018-01-09-11:32:52,-0.034,-0.149
2018-01-09-11:32:57,-0.034,-0.146
2018-01-09-11:33:02,-0.032,-0.148
2018-01-09-11:33:07,-0.032,-0.151
2018-01-09-11:33:12,-0.034,-0.146
2018-01-09-11:33:17,-0.036,-0.149
2018-01-09-11:33:22,-0.036,-0.145
2018-01-09-11:33:27,-0.035,-0.146
2018-01-09-11:33:32,-0.031,-0.146
2018-01-09-11:33:37,-0.031,-0.146
2018-01-09-11:33:42,-0.034,-0.148
2018-01-09-11:33:47,-0.035,-0.147
2018-01-09-11:33:52,-0.036,-0.147
2018-01-09-11:33:57,-0.035,-0.146
2018-01-09-11:34:02,-0.033,-0.143
2018-01-09-11:34:07,-0.033,-0.145
2018-01-09-11:34:12,-0.034,-0.144
2018-01-09-11:34:17,-0.033,-0.146
2018-01-09-11:34:22,-0.033,-0.144
2018-01-09-11:34:27,-0.03,-0.143
2018-01-09-11:34:32,-0.033,-0.143
2018-01-09-11:34:37,-0.034,-0.147
2018-01-09-11:34:42,-0.037,-0.141
2018-01-09-11:34:47,-0.035,-0.143
2018-01-09-11:34:52,-0.034,-0.144
2018-01-09-11:34:57,-0.033,-0.145
2018-01-09-11:35:02,-0.03,-0.143
2018-01-09-11:35:07,-0.033,-0.143
2018-01-09-11:35:12,-0.035,-0.143
2018-01-09-11:35:17,-0.035,-0.142
2018-01-09-11:35:22,-0.036,-0.143
2018-01-09-11:35:27,-0.033,-0.142
2018-01-09-11:35:32,-0.032,-0.143
2018-01-09-11:35:37,-0.034,-0.141
2018-01-09-11:35:42,-0.034,-0.141
2018-01-09-11:35:47,-0.034,-0.141
2018-01-09-11:35:52,-0.031,-0.14
2018-01-09-11:35:57,-0.033,-0.141
2018-01-09-11:36:02,-0.034,-0.139
2018-01-09-11:36:07,-0.036,-0.14
2018-01-09-11:36:12,-0.035,-0.14
2018-01-09-11:36:17,-0.034,-0.141
2018-01-09-11:36:22,-0.033,-0.14
2018-01-09-11:36:27,-0.031,-0.141
2018-01-09-11:36:32,-0.032,-0.141
2018-01-09-11:36:37,-0.034,-0.14
2018-01-09-11:36:42,-0.035,-0.14
2018-01-09-11:36:47,-0.035,-0.141
2018-01-09-11:36:52,-0.032,-0.139
2018-01-09-11:36:57,-0.032,-0.139
2018-01-09-11:37:02,-0.034,-0.139
2018-01-09-11:37:07,-0.033,-0.139
2018-01-09-11:37:12,-0.034,-0.138
2018-01-09-11:37:17,-0.03,-0.137
2018-01-09-11:37:22,-0.034,-0.137
2018-01-09-11:37:27,-0.034,-0.135
2018-01-09-11:37:32,-0.036,-0.137
2018-01-09-11:37:37,-0.036,-0.136
2018-01-09-11:37:42,-0.035,-0.138
2018-01-09-11:37:47,-0.032,-0.138
2018-01-09-11:37:52,-0.03,-0.138
2018-01-09-11:37:57,-0.031,-0.138
2018-01-09-11:38:02,-0.034,-0.136
2018-01-09-11:38:07,-0.034,-0.137
2018-01-09-11:38:12,-0.035,-0.137
2018-01-09-11:38:17,-0.031,-0.137
2018-01-09-11:38:22,-0.031,-0.136
2018-01-09-11:38:27,-0.034,-0.137
2018-01-09-11:38:32,-0.033,-0.135
2018-01-09-11:38:37,-0.034,-0.136
2018-01-09-11:38:42,-0.031,-0.136
2018-01-09-11:38:47,-0.034,-0.135
2018-01-09-11:38:52,-0.032,-0.134
2018-01-09-11:38:57,-0.036,-0.133
2018-01-09-11:39:02,-0.035,-0.135
2018-01-09-11:39:07,-0.033,-0.135
2018-01-09-11:39:12,-0.032,-0.134
2018-01-09-11:39:17,-0.03,-0.134
2018-01-09-11:39:22,-0.031,-0.134
2018-01-09-11:39:27,-0.033,-0.136
2018-01-09-11:39:32,-0.034,-0.134
2018-01-09-11:39:37,-0.034,-0.136
2018-01-09-11:39:42,-0.031,-0.134
2018-01-09-11:39:47,-0.03,-0.134
2018-01-09-11:39:52,-0.034,-0.133
2018-01-09-11:39:57,-0.033,-0.133
2018-01-09-11:40:02,-0.034,-0.133
2018-01-09-11:40:07,-0.03,-0.133
2018-01-09-11:40:12,-0.032,-0.134
2018-01-09-11:40:17,-0.032,-0.132
2018-01-09-11:40:22,-0.034,-0.132
2018-01-09-11:40:27,-0.034,-0.132
2018-01-09-11:40:32,-0.033,-0.133
2018-01-09-11:40:37,-0.031,-0.132
2018-01-09-11:40:42,-0.03,-0.133
2018-01-09-11:40:47,-0.031,-0.132
2018-01-09-11:40:52,-0.033,-0.134
2018-01-09-11:40:57,-0.032,-0.133
2018-01-09-11:41:02,-0.033,-0.132
2018-01-09-11:41:07,-0.03,-0.132
2018-01-09-11:41:12,-0.03,-0.131
2018-01-09-11:41:17,-0.032,-0.132
2018-01-09-11:41:22,-0.033,-0.131
2018-01-09-11:41:27,-0.032,-0.129
2018-01-09-11:41:32,-0.03,-0.131
2018-01-09-11:41:37,-0.032,-0.13
2018-01-09-11:41:42,-0.03,-0.131
2018-01-09-11:41:47,-0.033,-0.128
2018-01-09-11:41:52,-0.033,-0.13
2018-01-09-11:41:57,-0.032,-0.129
2018-01-09-11:42:02,-0.03,-0.129
2018-01-09-11:42:07,-0.029,-0.129
2018-01-09-11:42:12,-0.03,-0.13
2018-01-09-11:42:17,-0.032,-0.129
2018-01-09-11:42:22,-0.032,-0.129
2018-01-09-11:42:27,-0.033,-0.13
2018-01-09-11:42:32,-0.03,-0.132
2018-01-09-11:42:37,-0.03,-0.13
2018-01-09-11:42:42,-0.03,-0.129
2018-01-09-11:42:47,-0.033,-0.13
2018-01-09-11:42:52,-0.031,-0.128
2018-01-09-11:42:57,-0.029,-0.13
2018-01-09-11:43:02,-0.03,-0.128
2018-01-09-11:43:07,-0.032,-0.13
2018-01-09-11:43:12,-0.034,-0.129
2018-01-09-11:43:17,-0.033,-0.128
2018-01-09-11:43:22,-0.031,-0.129
